Title,Year,Additional information,Location,Latitude,Longtitude
"""0511 TV Lokal""",2007, {Kunsthandwerkermarkt in Celle},"Celle, Lower Saxony, Germany",52.624056,10.081052
"""0511 TV Lokal""",2007, {Internationaler GroпїЅmodellflugtag Lehrte},"Lehrte, Lower Saxony, Germany",52.3749334,9.9748557
"""0511 Sondersendung zu Theaterformen""",2007,NODATA,"Hannover, Lower Saxony, Germany",52.3744779,9.7385532
"""0511 TV Lokal""",2007,NODATA,"Hannover, Lower Saxony, Germany",52.3744779,9.7385532
"""0511 TV Lokal""",2007, {10 Jahre AWO rennt},"Hannover, Lower Saxony, Germany",52.3744779,9.7385532
"""0511 TV Lokal""",2007, {A Clockwork Orange im Ballhof},"Hannover, Lower Saxony, Germany",52.3744779,9.7385532
"""0511 TV Lokal""",2007, {AWO-Kinderlauf},"Hannover, Lower Saxony, Germany",52.3744779,9.7385532
"""0511 TV Lokal""",2007, {Autofreier Sonntag in Hannover},"Hannover, Lower Saxony, Germany",52.3744779,9.7385532
"""0511 TV Lokal""",2007, {Babylon - Theaterfestival},"Hannover, Lower Saxony, Germany",52.3744779,9.7385532
"""0511 TV Lokal""",2007, {Bandfactory - Frames},"Hannover, Lower Saxony, Germany",52.3744779,9.7385532
